|win_dummy|delta_net_rating_m|delta_seed_int
2030|1|1.6494388321080358|-7.0
2031|0|-0.7677622102710675|5.0
2032|0|-6.744286564395206|8.0
2033|0|-5.901394946381872|5.0
2034|1|-7.661539189722106|5.0
2035|1|6.012226081356989|-4.0
2036|1|-0.6891009876055012|-1.0
2037|0|0.3298225029244115|3.0
2038|0|-5.905268870500436|1.0
2039|0|2.338048475374201|4.0
2040|1|0.6140089723898061|-1.0
2041|0|11.785594489783387|1.0
2042|0|-7.468199330289433|3.0
2043|1|0.8412876279064108|1.0
2044|0|-0.823497580825947|-1.0
2045|1|8.782617635038326|-5.0
2046|1|-10.287828742871566|9.0
2047|1|9.398177880883226|-9.0
2048|0|-5.509488658790984|0.0
2049|0|-2.670999932654137|-1.0
2050|1|1.4140687547523871|0.0
2051|1|-3.128809048105566|0.0
2052|0|13.784513839523202|0.0
2053|0|-3.5177651658012845|0.0
2054|1|10.922193638003556|-13.0
2055|1|0.46804209330470314|-9.0
2056|0|-4.414598968554689|9.0
2057|0|-5.581019221132376|11.0
2058|1|33.51996908948932|-15.0
2059|1|-0.8254640434270115|-7.0
2060|0|-8.189831510007538|-7.0
2061|1|3.3383402821300043|-1.0
2062|1|-1.1814727558166744|-7.0
2063|1|1.3156139805372113|-9.0
2064|1|14.958711493018932|-3.0
2065|0|-23.499166676029756|15.0
2066|0|-4.984113984044759|7.0
2067|0|-8.45189131132379|9.0
2068|0|-9.583940429097886|1.0
2069|0|1.2021824505196133|-5.0
2070|1|3.4090915797068235|-1.0
2071|1|-1.2085682270776843|-11.0
2072|1|12.018017672398326|-5.0
2073|1|11.346741780783052|-13.0
2074|1|13.842574721600068|-15.0
2075|1|12.802717483324836|-13.0
2076|0|-15.310549937852286|13.0
2077|1|5.965400552422583|-3.0
2078|0|3.227730886353684|-1.0
2079|1|14.050233509225155|-15.0
2080|0|-12.462259758011108|11.0
2081|0|-1.3271264665684424|-5.0
2082|0|1.2077597068390542|3.0
2083|0|-14.368597211029268|11.0
2084|0|14.472271889711537|-5.0
2085|0|-14.38450817025933|-3.0
2086|1|-9.691086101586656|-5.0
2087|1|-4.920654493816906|-8.0
2088|1|-1.1313364461285822|-1.0
2089|1|23.2439773199215|-7.0
2090|0|-6.325105691717994|1.0
2091|0|-7.321878028050206|1.0
2092|0|6.8521047957021715|-7.0
2093|0|8.899819726594545|-8.0
2094|1|4.137388621322216|-8.0
2095|1|9.530027525674903|-8.0
2096|1|-9.248811965164329|-8.0
2097|0|1.8946474099972335|-5.0
2098|0|-11.096323944800204|7.0
2099|1|6.768532493578409|-8.0
2100|0|6.678094381439163|-5.0
2101|0|-0.0031503535120940285|3.0
2102|1|11.509490357729842|-3.0
2103|1|-3.8624826880636594|-3.0
2104|0|-3.752770585133515|4.0
2105|0|11.285530602597591|-9.0
2106|1|1.6070902682651216|-4.0
2107|1|-0.42760525693555707|-1.0
2108|0|-6.028430164672367|3.0
2109|0|3.5177068324729994|-4.0
2110|1|26.639795977860025|-10.0
2111|0|-4.593512659232912|-2.0
2112|0|0.26968248617645685|1.0
2113|0|8.000259053365001|-3.0
2114|1|22.91381757855524|-6.0
2115|1|-0.4959403489723897|-2.0
2116|0|13.809936846975436|0.0
2117|0|-3.5282080813029966|0.0
2118|1|3.6320916958865688|0.0
2119|0|5.626994880927072|0.0
2120|0|1.264018295416611|0.0
2121|1|-6.699254020480588|1.0
2122|0|3.2706087078968817|-9.0
2123|1|16.608410136187523|-13.0
2124|1|-2.127357156934993|-5.0
2125|1|12.40042408165667|-9.0
2126|1|6.016639579832166|-5.0
2127|1|5.102945539524589|-15.0
2128|0|5.346974290377304|7.0
2129|1|6.814761392308551|5.0
2130|1|2.0771619752095116|-11.0
2131|1|1.90741561541728|-7.0
2132|0|-8.201648823896669|3.0
2133|0|0.9554371852222205|1.0
2134|1|4.050017153073478|-11.0
2135|0|-3.1045828618161977|11.0
2136|0|-19.312158622991497|15.0
2137|1|5.457048857544365|-9.0
2138|0|-1.8974909230296682|-3.0
2139|1|15.860135802666198|-13.0
2140|1|-5.822318269427745|-7.0
2141|1|1.2435065823667912|1.0
2142|0|4.958529389082258|-1.0
2143|1|-10.23113075108244|9.0
2144|0|-11.68190241215422|11.0
2145|1|10.650154007042875|-3.0
2146|0|-7.675229777385928|13.0
2147|0|-19.577587823710072|13.0
2148|1|-4.821214319447176|5.0
2149|0|-4.565677949950541|3.0
2150|1|-20.166509923534875|15.0
2151|0|4.044630237151608|7.0
2152|0|-16.155625934727766|15.0
2153|1|9.41566634629425|-5.0
2154|1|11.390738934101371|-1.0
2155|1|6.718304056345407|-7.0
2156|0|3.0754881151576274|8.0
2157|1|4.158323066950448|8.0
2158|0|2.3740567424816845|3.0
2159|0|-6.915666029818734|3.0
2160|0|-19.85584422161882|8.0
2161|0|3.146701196295952|-1.0
2162|1|-4.134800903300782|8.0
2163|1|3.680667318525166|-7.0
2164|0|10.471265456079738|-5.0
2165|0|-12.703104016651132|8.0
2166|0|17.23894234238419|-8.0
2167|0|4.938793716250394|-5.0
2168|0|-7.638529018097702|8.0
2169|1|-14.959269344810915|5.0
2170|1|-1.8665029741553898|4.0
2171|1|0.6502116100003761|4.0
2172|1|9.181900401358682|-4.0
2173|1|15.883484791461399|-9.0
2174|0|-4.572735894749954|4.0
2175|0|5.376414036060776|-1.0
2176|1|9.430329220763568|-4.0
2177|0|-8.851466475960382|-2.0
2178|0|-5.530426720767375|6.0
2179|0|6.982900953798175|1.0
2180|0|-7.42979058948556|2.0
2181|0|0.14715537064683204|8.0
2182|0|-8.7398623878669|0.0
2183|0|-7.960942175784567|2.0
